URL;Type;Acteur;Position;Poids;Date;Lu en détail? 
https://www.youtube.com/watch?v=dkMH2zatudE;Video + commentaire;Activistes;Racially diverse Emojis;+++++;27/02/2015;oui
https://www.youtube.com/watch?v=IcjVITudJXk;Video + commentaire;Activistes;Emojis are racist ;+;12/01/2017;oui
https://www.youtube.com/watch?v=qLEEiRV_lIw;Video + commentaire;Activistes;Asians Are Angered By Apple's Racist Emojis;+++++;11/03/2015;oui
https://www.youtube.com/watch?v=8I1pfIiRvTc;Video + commentaire;Activistes;Non Racist emojis are still racist;++++;22/08/2016;oui
http://gingerparrot.co.uk/2015/02/petition-redheads-should-have-emoji-too/;Blog + commentaire;Blogueurs;Petition: Redheads Should Have Emoji;+++++;28/01/2015;oui
http://gingerparrot.co.uk/2017/05/new-mock-ups-redhead-emojis-based-on-jessica-chastain-ed-sheeran/;Blog + commentaire;Blogueurs;New Mock-Ups of Redhead Emojis Based on Jessica Chastain and Ed Sheeran;++;19/05/2017;oui
https://twitter.com/jeremyburge/status/864772729609883649?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2Fgingerparrot.co.uk%2F2017%2F05%2Fnew-mock-ups-redhead-emojis-based-on-jessica-chastain-ed-sheeran%2F;Tweet;Activistes;Redhead and blad emojis;+++;17/05/2017;oui
http://gingerparrot.co.uk/2017/02/ginger-ed-sheeran-emojis-to-celebrate-the-brit-awards-2017/;Blog + commentaire;Blogueurs;Ginger Ed Sheeran Emojis To Celebrate The Brit Awards 2017;+++;07/02/2017;oui
https://twitter.com/edsheeran/status/828526783788036096?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2Fgingerparrot.co.uk%2F2017%2F02%2Fginger-ed-sheeran-emojis-to-celebrate-the-brit-awards-2017%2F;Tweet;Célébrité ;Ed Sheeran Emoji;+++++;06/02/2017;oui
http://gingerparrot.co.uk/2017/01/unicode-publishes-important-redhead-emoji-update-theyre-coming/;Blog + commentaire;Unicode;Unicode Publishes Important Redhead Emoji Update…They’re Coming!;++++;19/01/2017;oui
http://gingerparrot.co.uk/2016/07/world-emoji-day-the-journey-of-the-ginger-emoji-but-were-still-waiting/;Blog + commentaire;Unicode;World Emoji Day: The Journey of The Ginger Emoji (Still Waiting);++++;17/07/2016;oui
http://gingerparrot.co.uk/2016/11/where-are-our-ginger-emojis/;Blog + commentaire;Unicode;Ginger Emoji updating;++++;02/11/2016;oui
http://gingerparrot.co.uk/2016/06/ginger-emojis-coming-to-facebook/;Blog + commentaire;Facebook;Ginger Emojis are coming to facebook;+++;02/06/2016;oui
http://gingerparrot.co.uk/2016/03/ginger-emojis-are-coming/;Blog + commentaire;Aplle, Samsung, Google, Microsoft;Ginger Emojis are coming;++;02/03/2016;oui
http://gingerparrot.co.uk/2016/01/emoji-update-carrots-and-foxes-are-coming-but-still-no-gingers/;Blog + commentaire;Unicode;Carrots and Foxes are coming;+;23/01/2016;oui
http://gingerparrot.co.uk/2016/07/world-emoji-day-the-journey-of-the-ginger-emoji-but-were-still-waiting/;Blog + commentaire;Unicode;World Emoji Day;++;28/03/2016;oui
https://www.instagram.com/p/BBN2UGayMu8/;Instagram;Célébrité ;Redhead emojis;+++++;24/03/2016;oui
http://gingerparrot.co.uk/2015/07/help-us-deliver-our-petition-for-ginger-emoji-to-apple/;Blog + commentaire;Société civile;Redhead petition delivered to apple;+++++;08/07/2016;oui
http://gingerparrot.co.uk/2015/06/ginger-emojis-are-here-but-dont-get-too-excited/;Blog + commentaire;Activistes;Les émojis redhead sont une déception;+++;20/01/2015;oui
http://gingerparrot.co.uk/2015/05/38-new-emoji-for-2016-but-still-no-gingers/;Blog + commentaire;Aplle, Samsung, Google, Microsoft;Beacoup de nouveaux émojis;+++;21/05/2016;oui
http://gingerparrot.co.uk/2015/04/10-scenarios-we-all-need-ginger-emojis/;Blog + commentaire;Blogueurs;10 Scenarios We All NEED Ginger Emojis;++++;27/04/2015;oui
https://www.youtube.com/watch?v=DUzEhCsKpko;Video + commentaire;Activistes;Are emojis racist? ;+++++;16/12/2014;oui
http://www.unicode.org/L2/L2017/17011-redhead-emoji-options.pdf;;;;;;
http://www.frandroid.com/android/applications/358721_swiftkey-predire-choix-demoji-grace-clavier-swiftmoji;;;;;;
http://www.unicode.org/L2/L2016/16369-emoj-consolidated.pdf;;;;;;
https://www.youtube.com/watch?v=hieiwf5H34w;;;;;;
https://fr.slideshare.net/onprenduncafe/emoji-la-tendance;;;;;;
http://metro.co.uk/2015/12/30/how-a-very-important-petition-to-create-a-dumpling-emoji-turned-into-something-bigger-5591243/;;;;;;
https://www.buzzfeed.com/charliewarzel/emoji-ravioli?utm_term=.pjZb89vLB#.vfkW9rxza;;;;;;
https://www.buzzfeed.com/charliewarzel/there-will-be-dumplings?utm_term=.oxeB5zq20#.wtGJp2EbO;;;;;;
https://www.franceinter.fr/emissions/il-etait-une-fois-dans-le-web/il-etait-une-fois-dans-le-web-14-decembre-2016;;;;;;
https://mic.com/articles/130924/jennifer-8-lee-emojination-dumpling-emoji#.HRe9D8iM7;;;;;;
http://www.dumplingemoji.org/;;;;;;
http://tempsreel.nouvelobs.com/les-internets/20160708.OBS4302/de-kardashian-a-clinton-bienvenue-dans-l-ere-des-emoji-griffes.html;;;;;;
http://adage.com/article/digital/dove-launches-curly-haired-emojis-address-void/301203/;;;;;;
http://www.unicode.org/L2/L2017/17011-redhead-emoji-options.pdf;;;;;;
;;;;;;
https://www.quora.com/Why-doesnt-YikYak-enable-emojis;Forum;;;;;
https://www.quora.com/unanswered/Is-there-an-emoji-for-irony;Forum;;;;;
https://www.quora.com/Do-all-the-emojis-have-copyright;Forum;;;;;
https://www.quora.com/What-is-the-best-bored-emoji;Forum;;;;;
https://www.quora.com/Emoji-Is-anyone-collecting-suggestions-for-future-smileys;Forum;;;;;
https://www.quora.com/Why-is-one-of-the-cat-emojis-sideways-while-all-other-face-emojis-including-the-other-cats-are-head-on;Forum;;;;;
https://www.quora.com/Why-should-I-use-stickers-over-emoji;Forum;;;;;
https://www.quora.com/What-do-linguists-think-of-emojis;Forum;;;;;
https://www.quora.com/unanswered/Does-the-LG-Optimus-L9-have-Emoji;Forum;;;;;
https://www.quora.com/unanswered/Emoji-Should-I-try-the-Emoki-Emoticons-app;Forum;;;;;
https://www.quora.com/What-are-emojis-1;Forum;;;;;
https://www.quora.com/unanswered/Is-there-an-emoji-app-with-Rastafari-characters-for-Android;Forum;;;;;
https://www.quora.com/How-are-emojis-used-in-texting;Forum;;;;;
https://www.quora.com/How-are-emojis-different-outside-of-the-U-S;Forum;;;;;
https://www.quora.com/Why-should-I-use-emojis-over-stickers;Forum;;;;;
https://www.quora.com/unanswered/What-are-some-cute-emoji-pics;Forum;;;;;
https://www.quora.com/Which-emoji-is-this-U0001f360;Forum;;;;;
https://www.quora.com/Has-there-been-any-discussion-on-the-accessibility-of-emojis-for-messaging-applications;Forum;;;;;
https://www.quora.com/Are-there-legal-implications-to-using-Emojis-in-your-own-commercial-products;Forum;;;;;
https://www.quora.com/What-are-Emojis-and-where-did-the-word-come-from;Forum;;;;;
https://www.quora.com/Are-there-standard-emoticon-emoji-lists-for-IM-and-texting-apps;Forum;;;;;
https://www.quora.com/What-is-the-emoji-approval-process;Forum;;;;;
https://www.quora.com/Emoticons-Will-emojis-be-the-newest-global-language;Forum;;;;;
https://www.quora.com/Why-are-there-so-few-emoji-for-negative-emotions-and-aggression;Forum;;;;;
https://www.quora.com/Does-the-French-horn-emoji-have-legs-with-shoes-or-a-stand;Forum;;;;;
https://www.quora.com/Is-there-an-easy-way-to-get-Emoji-characters-on-iPhone-It-is-really-frurstrating;Forum;;;;;
https://www.quora.com/What-are-the-linguistic-differences-between-Chinese-ideographs-and-emoji;Forum;;;;;
https://www.quora.com/Are-there-any-serious-academic-papers-that-include-emoji-in-their-title;Forum;;;;;
https://www.quora.com/Does-the-emoji-U0001f602-stand-for-happy-or-sad;Forum;;;;;
https://www.quora.com/Why-does-Slack-have-a-%E2%80%9C-dusty_stick-%E2%80%9D-emoji;Forum;;;;;
https://www.quora.com/Why-is-there-no-avocado-emoji;Forum;;;;;
https://www.quora.com/Who-is-responsible-for-approving-new-emojis;Forum;;;;;
https://www.quora.com/What-is-the-purple-emoji;Forum;;;;;
https://www.quora.com/unanswered/What-do-all-the-Gmail-emojis-mean;Forum;;;;;
https://www.quora.com/What-are-some-cool-emojis;Forum;;;;;
https://www.quora.com/Can-WhatsApp-add-the-Indian-flag-to-the-emojis;Forum;;;;;
https://www.quora.com/Icons-What-is-the-best-Emoji-app;Forum;;;;;
https://www.quora.com/How-can-you-display-emojis-on-Blogger;Forum;;;;;
https://www.quora.com/How-do-emojis-work-on-Android;Forum;;;;;
https://www.quora.com/Who-controls-Emojis;Forum;;;;;
https://www.quora.com/Are-there-any-serious-academic-papers-that-include-emoji-in-their-title#;Forum;;;;;
https://www.quora.com/Does-the-emoji-U0001f602-stand-for-happy-or-sad;Forum;;;;;
https://www.quora.com/What-does-the-emoji-_-mean;;;;;;

